concurrency,throughput_req_s,p50_ms,p95_ms,p99_ms,mean_ms,max_ms,gpu_util_avg_pct,gpu_util_max_pct,gpu_mem_max_mib,gpu_samples,errors,elapsed_sec
1,28.71,48.54,52.42,53.55,34.84,58.98,34.6,36.0,1358,522,0,52.253
2,62.69,44.35,53.19,56.11,31.88,61.97,45.6,58.0,1358,239,0,23.926
4,133.76,42.30,51.29,54.49,29.84,59.51,50.8,59.0,1358,112,0,11.214
8,251.00,40.93,59.86,66.34,31.75,82.25,38.5,74.0,1358,59,0,5.976
16,342.20,48.74,86.04,95.95,46.48,111.07,39.4,50.0,1358,42,0,4.383
32,350.40,92.45,146.83,177.07,90.68,229.81,37.7,43.0,1358,43,0,4.281
64,342.70,171.57,263.29,430.88,183.77,596.53,35.8,43.0,1358,44,0,4.377
128,330.83,364.28,563.11,834.80,374.84,964.60,35.1,52.0,1358,43,0,4.534
