concurrency,throughput_req_s,p50_ms,p95_ms,p99_ms,mean_ms,max_ms,gpu_util_avg_pct,gpu_util_max_pct,gpu_mem_max_mib,gpu_samples,errors,elapsed_sec
1,23.95,47.31,61.62,63.89,41.76,77.87,28.9,37.0,408,626,0,62.641
4,112.45,42.25,57.29,62.12,35.50,504.81,22.4,83.0,1510,133,0,13.339
16,277.80,64.35,85.33,513.66,57.29,665.82,27.8,74.0,1672,53,0,5.399
64,221.42,270.19,682.70,758.86,285.58,783.95,31.8,68.0,1988,67,0,6.774
128,337.66,330.78,764.84,880.25,371.48,1110.55,15.4,71.0,2008,44,0,4.442
