concurrency,throughput_req_s,p50_ms,p95_ms,p99_ms,mean_ms,max_ms,gpu_util_avg_pct,gpu_util_max_pct,gpu_mem_max_mib,gpu_samples,errors,elapsed_sec
4,91.10,47.89,71.02,76.99,43.89,413.92,48.9,75.0,1516,548,0,54.886
16,316.06,63.14,85.30,91.24,50.50,277.06,39.7,58.0,1536,158,0,15.820
32,320.45,92.06,183.94,374.17,99.62,642.65,33.1,68.0,1708,155,0,15.603
64,307.20,168.48,510.20,673.68,207.85,1026.05,18.6,81.0,2018,160,0,16.276
128,357.03,320.97,704.15,986.13,356.70,1355.70,25.9,71.0,1976,138,0,14.005
256,349.01,690.45,1193.61,1576.74,723.54,2715.74,32.0,74.0,798,128,0,14.326
